B2,B3,B4,B5,class
908,862,829,351,3
834,834,909,426,3
882,942,2119,1665,3
838,933,2295,1955,3
920,959,2191,1908,3
815,880,2204,1889,3
803,803,1076,575,3
863,934,2638,2486,3
996,1005,2676,2537,3
1368,1451,2768,2226,3
923,1021,1966,1813,3
878,948,1900,1688,3
699,808,1590,1249,3
1013,1068,2291,2011,3
1017,1180,2105,1810,5
1106,1223,2394,2171,3
1151,1251,2407,2184,3
775,777,1864,1585,3
963,1066,2263,1968,3
630,685,1501,1158,3
912,901,1860,1589,3
852,837,1713,1351,3
1095,1089,1918,1647,5
896,997,2228,1874,3
642,666,2490,1886,5
940,1083,2555,1899,3
928,1053,2300,1926,3
658,634,1424,949,3
671,655,1082,627,3
690,701,1636,1288,3
914,828,940,401,3
798,874,847,351,3
827,782,816,287,3
891,881,1050,499,3
876,868,933,400,3
904,869,1016,513,3
930,960,1237,673,3
918,952,1272,598,3
774,791,1556,1216,3
802,819,1684,1106,3
893,815,1041,534,3
948,1022,1907,1380,3
271,225,2016,1284,1
171,163,1667,1035,1
301,251,2277,1429,1
346,237,2379,1504,1
361,251,2354,1429,1
526,471,2457,1595,1
258,172,2230,1259,1
211,168,2109,1146,1
370,352,2288,1444,1
431,387,2245,1601,1
1683,1652,3179,2604,1
535,487,2449,1663,1
476,416,2258,1515,1
446,358,2360,1552,1
403,343,2252,1536,1
345,314,1933,1302,1
377,334,2195,1463,1
347,277,2259,1673,1
364,285,2291,1418,1
382,304,2259,1418,1
446,389,2223,1551,1
359,296,2216,1443,1
389,282,2358,1481,1
359,267,2229,1481,1
359,296,2396,1518,1
621,517,2352,1713,1
489,403,2607,1589,1
533,403,2759,1676,1
386,303,2441,1490,1
371,289,2467,1466,1
415,274,2683,1626,1
447,342,2615,1564,1
462,342,2602,1689,1
416,328,2602,1485,1
401,313,2602,1485,1
491,458,2653,1622,1
582,532,2641,1626,1
416,356,2719,1514,1
357,331,2542,1487,1
387,331,2516,1487,1
432,375,2424,1249,1
560,507,2500,1710,1
928,935,2566,1846,1
1018,1050,2658,2120,1
824,790,2081,1821,4
854,848,2042,1721,4
988,1064,2423,1896,4
884,834,2292,1933,4
1005,1085,2274,1907,4
916,984,2209,2068,4
1153,1199,2117,1944,4
1035,999,2117,1969,4
887,812,2287,1745,4
1138,1070,2261,2056,4
1035,1142,2209,1994,4
1020,999,2196,1982,4
872,984,2379,1907,4
961,1013,2392,2131,4
946,1085,2287,2329,4
887,855,2535,1944,4
1141,1101,2148,1829,4
1087,1173,2220,1986,4
842,913,2379,1944,4
1087,1131,2207,1900,4
1102,1215,2336,1900,4
971,1060,1961,1900,4
1078,1067,1980,1842,4
654,846,2193,1808,4
922,1090,2053,1971,4
730,790,2301,1797,4
565,545,2362,1597,4
978,1243,2349,1957,4
922,962,2223,1884,4
996,934,2132,2244,4
804,1076,2106,2206,4
571,548,2555,1732,4
541,577,2322,1757,4
527,577,2387,1657,4
954,1062,2049,2129,4
687,695,2724,1936,4
762,825,2057,1861,4
807,868,2359,1899,4
778,837,1997,1976,4
688,706,2261,1913,4
458,396,2022,1622,4
515,435,2578,1598,2
605,609,2029,1785,2
605,594,2604,1909,5
485,464,2927,1822,2
578,585,1680,1460,2
383,440,1785,1385,2
383,396,1363,960,2
353,309,1627,1148,2
